Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
C,C5X6.7,C5X6.7,F,6.70,1.97,5.00,5      ,–,–,–,1.75,1  3/4 ,–,–,–,0.190,  3/16,  1/8 ,0.320,  5/16,–,–,–,0.750,  3/4 ,–,0.484,–,0.552,0.215,–,–,5.47,–,20.0,–,–,7.48,3.55,2.99,1.95,0.470,0.757,0.372,0.489,–,–,–,0.0549,2.22,–,2.36,0.380,0.224,0.113,1.17,1.76,2.26,0.790,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.584,4.68,–,–
C,C4X7.25,C4X7.25,F,7.25,2.13,4.00,4      ,–,–,–,1.72,1  3/4 ,–,–,–,0.321,  5/16,  3/16,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.459,–,0.386,0.266,–,–,5.81,–,8.90,–,–,4.58,2.84,2.29,1.47,0.425,0.695,0.337,0.447,–,–,–,0.0817,1.24,–,1.88,0.281,0.199,0.101,0.767,1.41,1.75,0.767,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.563,3.70,–,–
C,C4X6.25,C4X6.25,F,6.25,1.77,4.00,4      ,–,–,–,1.65,1  3/4 ,–,–,–,0.247,  1/4 ,  1/8 ,0.272,  5/16,–,–,–,0.750,  3/4 ,–,0.435,–,0.434,0.221,–,–,6.07,–,11.7,–,–,4.00,2.43,2.00,1.50,0.345,0.569,0.284,0.441,–,–,–,0.0487,1.03,–,1.81,0.238,0.159,0.0805,0.711,1.21,1.79,0.764,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.546,3.73,–,–
C,C4X5.4,C4X5.4,F,5.40,1.58,4.00,4      ,–,–,–,1.58,1  5/8 ,–,–,–,0.184,  3/16,  1/8 ,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.457,–,0.501,0.231,–,–,5.34,–,15.5,–,–,3.85,2.29,1.92,1.56,0.312,0.565,0.277,0.444,–,–,–,0.0399,0.921,–,1.66,0.219,0.123,0.0637,0.765,1.13,1.88,0.742,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.528,3.70,–,–
C,C4X4.5,C4X4.5,F,4.50,1.38,4.00,4      ,–,–,–,1.58,1  5/8 ,–,–,–,0.125,  1/8 ,  1/16,0.296,  5/16,–,–,–,0.750,  3/4 ,–,0.493,–,0.587,0.321,–,–,5.34,–,22.8,–,–,3.65,2.12,1.83,1.63,0.289,0.531,0.265,0.457,–,–,–,0.0322,0.871,–,1.61,0.206,0.0908,0.0481,0.798,1.05,2.01,0.710,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.524,3.70,–,–
C,C3X6,C3X6,F,6.00,1.76,3.00,3      ,–,–,–,1.60,1  5/8 ,–,–,–,0.356,  3/8 ,  3/16,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.455,–,0.322,0.294,–,–,5.86,–,5.38,–,–,2.07,1.74,1.38,1.09,0.300,0.543,0.263,0.413,–,–,–,0.0725,0.462,–,1.26,0.158,0.112,0.0538,0.463,0.864,1.40,0.690,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.519,2.73,–,–
C,C3X5,C3X5,F,5.00,1.47,3.00,3      ,–,–,–,1.50,1  1/2 ,–,–,–,0.258,  1/4 ,  1/8 ,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.439,–,0.392,0.245,–,–,5.49,–,7.42,–,–,1.85,1.52,1.23,1.12,0.241,0.464,0.228,0.405,–,–,–,0.0425,0.379,–,1.16,0.135,0.0840,0.0412,0.462,0.753,1.45,0.673,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.496,2.73,–,–
C,C3X4.1,C3X4.1,F,4.10,1.20,3.00,3      ,–,–,–,1.41,1  3/8 ,–,–,–,0.170,  3/16,  1/8 ,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.437,–,0.461,0.262,–,–,5.16,–,11.3,–,–,1.65,1.32,1.10,1.18,0.191,0.399,0.196,0.398,–,–,–,0.0269,0.307,–,1.06,0.113,0.0575,0.0290,0.462,0.653,1.53,0.655,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.469,2.73,–,–
C,C3X3.5,C3X3.5,F,3.50,1.09,3.00,3      ,–,–,–,1.37,1  3/8 ,–,–,–,0.132,  1/8 ,  1/16,0.273,  1/4 ,–,–,–,0.688, 11/16,–,0.443,–,0.493,0.296,–,–,5.02,–,14.5,–,–,1.57,1.24,1.04,1.20,0.169,0.364,0.182,0.394,–,–,–,0.0226,0.276,–,1.02,0.103,0.0452,0.0235,0.461,0.609,1.57,0.646,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.456,2.73,–,–
MC,MC18X58,MC18X58,F,58.0,17.1,18.0,18      ,–,–,–,4.20,4  1/4 ,–,–,–,0.700, 11/16,  3/8 ,0.625,  5/8 ,–,–,–,1.44,1  7/16,–,0.862,–,0.695,0.474,–,–,6.72,–,22.1,–,–,675,95.4,75.0,6.29,17.6,10.7,5.28,1.02,–,–,–,2.81,1070,–,24.4,21.4,18.4,9.28,19.0,47.4,6.56,0.944,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.35,17.4,–,–
