Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(?),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
2L,2L6X3-1/2X1/2LLBB,2L6X3-1/2X1/2LLBB,F,30.6,9.00,3.50,–,–,–,–,–,–,–,6.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,2.07,–,–,1.50,–,12.0,–,–,–,–,33.2,15.0,8.46,1.92,14.5,7.46,4.14,1.27,–,–,–,–,–,–,–,–,–,–,–,–,2.94,0.615,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L6X3-1/2X1/2X3/8LLBB,2L6X3-1/2X1/2X3/8LLBB,F,30.6,9.00,3.50,–,–,–,–,–,–,–,6.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,2.07,–,–,1.50,–,12.0,–,–,–,–,33.2,15.0,8.46,1.92,17.6,9.15,4.77,1.40,–,–,–,–,–,–,–,–,–,–,–,–,2.99,0.630,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L6X3-1/2X1/2X3/4LLBB,2L6X3-1/2X1/2X3/4LLBB,F,30.6,9.00,3.50,–,–,–,–,–,–,–,6.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,2.07,–,–,1.50,–,12.0,–,–,–,–,33.2,15.0,8.46,1.92,21.3,10.8,5.50,1.54,–,–,–,–,–,–,–,–,–,–,–,–,3.06,0.646,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L6X3-1/2X3/8LLBB,2L6X3-1/2X3/8LLBB,F,23.4,6.88,3.50,–,–,–,–,–,–,–,6.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,2.02,–,–,1.41,–,16.0,–,–,–,–,25.8,11.5,6.46,1.93,10.9,5.37,3.11,1.26,–,–,–,–,–,–,–,–,–,–,–,–,2.95,0.613,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L6X3-1/2X3/8X3/8LLBB,2L6X3-1/2X3/8X3/8LLBB,F,23.4,6.88,3.50,–,–,–,–,–,–,–,6.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,2.02,–,–,1.41,–,16.0,–,–,–,–,25.8,11.5,6.46,1.93,13.1,6.66,3.55,1.38,–,–,–,–,–,–,–,–,–,–,–,–,3.00,0.627,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L6X3-1/2X3/8X3/4LLBB,2L6X3-1/2X3/8X3/4LLBB,F,23.4,6.88,3.50,–,–,–,–,–,–,–,6.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,2.02,–,–,1.41,–,16.0,–,–,–,–,25.8,11.5,6.46,1.93,15.9,7.95,4.10,1.52,–,–,–,–,–,–,–,–,–,–,–,–,3.07,0.642,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L6X3-1/2X5/16LLBB,2L6X3-1/2X5/16LLBB,F,19.6,5.78,3.50,–,–,–,–,–,–,–,6.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,2.00,–,–,1.38,–,19.2,–,–,–,–,21.8,9.68,5.44,1.94,9.03,4.37,2.58,1.25,–,–,–,–,–,–,–,–,–,–,–,–,2.95,0.612,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L6X3-1/2X5/16X3/8LLBB,2L6X3-1/2X5/16X3/8LLBB,F,19.6,5.78,3.50,–,–,–,–,–,–,–,6.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,2.00,–,–,1.38,–,19.2,–,–,–,–,21.8,9.68,5.44,1.94,10.8,5.45,2.93,1.37,–,–,–,–,–,–,–,–,–,–,–,–,3.00,0.625,–,0.826,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L6X3-1/2X5/16X3/4LLBB,2L6X3-1/2X5/16X3/4LLBB,F,19.6,5.78,3.50,–,–,–,–,–,–,–,6.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,2.00,–,–,1.38,–,19.2,–,–,–,–,21.8,9.68,5.44,1.94,13.0,6.54,3.35,1.50,–,–,–,–,–,–,–,–,–,–,–,–,3.07,0.641,–,0.826,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X3/4LLBB,2L5X3-1/2X3/4LLBB,F,39.6,11.7,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.750,–,–,–,–,–,–,1.74,–,–,1.10,–,6.67,–,–,–,–,27.8,15.2,8.52,1.55,22.6,11.6,6.46,1.39,–,–,–,–,–,–,–,–,–,–,–,–,2.49,0.699,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X3/4X3/8LLBB,2L5X3-1/2X3/4X3/8LLBB,F,39.6,11.7,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.750,–,–,–,–,–,–,1.74,–,–,1.10,–,6.67,–,–,–,–,27.8,15.2,8.52,1.55,27.4,13.8,7.43,1.53,–,–,–,–,–,–,–,–,–,–,–,–,2.57,0.717,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X3/4X3/4LLBB,2L5X3-1/2X3/4X3/4LLBB,F,39.6,11.7,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.750,–,–,–,–,–,–,1.74,–,–,1.10,–,6.67,–,–,–,–,27.8,15.2,8.52,1.55,33.0,16.0,8.52,1.68,–,–,–,–,–,–,–,–,–,–,–,–,2.66,0.736,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X5/8LLBB,2L5X3-1/2X5/8LLBB,F,33.6,9.86,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.625,–,–,–,–,–,–,1.69,–,–,1.06,–,8.00,–,–,–,–,24.0,13.0,7.26,1.56,18.5,9.34,5.29,1.37,–,–,–,–,–,–,–,–,–,–,–,–,2.49,0.693,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X5/8X3/8LLBB,2L5X3-1/2X5/8X3/8LLBB,F,33.6,9.86,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.625,–,–,–,–,–,–,1.69,–,–,1.06,–,8.00,–,–,–,–,24.0,13.0,7.26,1.56,22.2,11.2,6.02,1.50,–,–,–,–,–,–,–,–,–,–,–,–,2.57,0.711,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X5/8X3/4LLBB,2L5X3-1/2X5/8X3/4LLBB,F,33.6,9.86,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.625,–,–,–,–,–,–,1.69,–,–,1.06,–,8.00,–,–,–,–,24.0,13.0,7.26,1.56,26.8,13.0,6.92,1.65,–,–,–,–,–,–,–,–,–,–,–,–,2.66,0.730,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X1/2LLBB,2L5X3-1/2X1/2LLBB,F,27.2,8.00,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.65,–,–,1.00,–,10.0,–,–,–,–,20.0,10.7,5.94,1.58,14.6,7.21,4.17,1.35,–,–,–,–,–,–,–,–,–,–,–,–,2.50,0.688,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X1/2X3/8LLBB,2L5X3-1/2X1/2X3/8LLBB,F,27.2,8.00,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.65,–,–,1.00,–,10.0,–,–,–,–,20.0,10.7,5.94,1.58,17.5,8.71,4.75,1.48,–,–,–,–,–,–,–,–,–,–,–,–,2.58,0.705,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X1/2X3/4LLBB,2L5X3-1/2X1/2X3/4LLBB,F,27.2,8.00,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.65,–,–,1.00,–,10.0,–,–,–,–,20.0,10.7,5.94,1.58,21.0,10.2,5.42,1.62,–,–,–,–,–,–,–,–,–,–,–,–,2.66,0.724,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X3/8LLBB,2L5X3-1/2X3/8LLBB,F,20.8,6.10,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.60,–,–,0.933,–,13.3,–,–,–,–,15.5,8.18,4.56,1.59,10.8,5.21,3.09,1.33,–,–,–,–,–,–,–,–,–,–,–,–,2.51,0.683,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X3/8X3/8LLBB,2L5X3-1/2X3/8X3/8LLBB,F,20.8,6.10,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.60,–,–,0.933,–,13.3,–,–,–,–,15.5,8.18,4.56,1.59,13.0,6.35,3.53,1.46,–,–,–,–,–,–,–,–,–,–,–,–,2.58,0.700,–,0.983,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X3/8X3/4LLBB,2L5X3-1/2X3/8X3/4LLBB,F,20.8,6.10,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.60,–,–,0.933,–,13.3,–,–,–,–,15.5,8.18,4.56,1.59,15.4,7.50,3.97,1.59,–,–,–,–,–,–,–,–,–,–,–,–,2.66,0.718,–,0.983,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X5/16LLBB,2L5X3-1/2X5/16LLBB,F,17.4,5.12,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.57,–,–,0.904,–,16.0,–,–,–,–,13.2,6.90,3.84,1.60,8.92,4.24,2.55,1.32,–,–,–,–,–,–,–,–,–,–,–,–,2.51,0.682,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X5/16X3/8LLBB,2L5X3-1/2X5/16X3/8LLBB,F,17.4,5.12,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.57,–,–,0.904,–,16.0,–,–,–,–,13.2,6.90,3.84,1.60,10.6,5.20,2.87,1.44,–,–,–,–,–,–,–,–,–,–,–,–,2.58,0.698,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X5/16X3/4LLBB,2L5X3-1/2X5/16X3/4LLBB,F,17.4,5.12,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.57,–,–,0.904,–,16.0,–,–,–,–,13.2,6.90,3.84,1.60,12.8,6.16,3.30,1.58,–,–,–,–,–,–,–,–,–,–,–,–,2.66,0.716,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X1/4LLBB,2L5X3-1/2X1/4LLBB,F,14.0,4.14,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.250,–,–,–,–,–,–,1.55,–,–,0.860,–,20.0,–,–,–,–,10.7,5.56,3.10,1.61,7.10,3.33,2.03,1.31,–,–,–,–,–,–,–,–,–,–,–,–,2.52,0.680,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X1/4X3/8LLBB,2L5X3-1/2X1/4X3/8LLBB,F,14.0,4.14,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.250,–,–,–,–,–,–,1.55,–,–,0.860,–,20.0,–,–,–,–,10.7,5.56,3.10,1.61,8.47,4.10,2.30,1.43,–,–,–,–,–,–,–,–,–,–,–,–,2.58,0.696,–,0.804,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3-1/2X1/4X3/4LLBB,2L5X3-1/2X1/4X3/4LLBB,F,14.0,4.14,3.50,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.250,–,–,–,–,–,–,1.55,–,–,0.860,–,20.0,–,–,–,–,10.7,5.56,3.10,1.61,10.2,4.88,2.63,1.57,–,–,–,–,–,–,–,–,–,–,–,–,2.66,0.714,–,0.804,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X1/2LLBB,2L5X3X1/2LLBB,F,25.6,7.50,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.74,–,–,1.25,–,10.0,–,–,–,–,18.9,10.2,5.78,1.58,9.24,5.60,3.08,1.11,–,–,–,–,–,–,–,–,–,–,–,–,2.44,0.628,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X1/2X3/8LLBB,2L5X3X1/2X3/8LLBB,F,25.6,7.50,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.74,–,–,1.25,–,10.0,–,–,–,–,18.9,10.2,5.78,1.58,11.5,7.00,3.61,1.24,–,–,–,–,–,–,–,–,–,–,–,–,2.51,0.646,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X1/2X3/4LLBB,2L5X3X1/2X3/4LLBB,F,25.6,7.50,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.74,–,–,1.25,–,10.0,–,–,–,–,18.9,10.2,5.78,1.58,14.5,8.41,4.30,1.39,–,–,–,–,–,–,–,–,–,–,–,–,2.58,0.667,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X7/16LLBB,2L5X3X7/16LLBB,F,22.6,6.62,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.438,–,–,–,–,–,–,1.72,–,–,1.22,–,11.4,–,–,–,–,16.8,9.06,5.12,1.59,8.01,4.78,2.67,1.10,–,–,–,–,–,–,–,–,–,–,–,–,2.45,0.626,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X7/16X3/8LLBB,2L5X3X7/16X3/8LLBB,F,22.6,6.62,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.438,–,–,–,–,–,–,1.72,–,–,1.22,–,11.4,–,–,–,–,16.8,9.06,5.12,1.59,10.0,6.02,3.14,1.23,–,–,–,–,–,–,–,–,–,–,–,–,2.51,0.644,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X7/16X3/4LLBB,2L5X3X7/16X3/4LLBB,F,22.6,6.62,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.438,–,–,–,–,–,–,1.72,–,–,1.22,–,11.4,–,–,–,–,16.8,9.06,5.12,1.59,12.6,7.26,3.73,1.38,–,–,–,–,–,–,–,–,–,–,–,–,2.58,0.664,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X3/8LLBB,2L5X3X3/8LLBB,F,19.6,5.72,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.69,–,–,1.19,–,13.3,–,–,–,–,14.7,7.86,4.44,1.60,6.80,3.99,2.27,1.09,–,–,–,–,–,–,–,–,–,–,–,–,2.45,0.624,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X3/8X3/8LLBB,2L5X3X3/8X3/8LLBB,F,19.6,5.72,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.69,–,–,1.19,–,13.3,–,–,–,–,14.7,7.86,4.44,1.60,8.51,5.07,2.67,1.22,–,–,–,–,–,–,–,–,–,–,–,–,2.51,0.642,–,0.983,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X3/8X3/4LLBB,2L5X3X3/8X3/4LLBB,F,19.6,5.72,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.69,–,–,1.19,–,13.3,–,–,–,–,14.7,7.86,4.44,1.60,10.6,6.14,3.14,1.36,–,–,–,–,–,–,–,–,–,–,–,–,2.59,0.661,–,0.983,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X5/16LLBB,2L5X3X5/16LLBB,F,16.4,4.82,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.67,–,–,1.14,–,16.0,–,–,–,–,12.5,6.64,3.74,1.61,5.62,3.24,1.87,1.08,–,–,–,–,–,–,–,–,–,–,–,–,2.46,0.623,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X5/16X3/8LLBB,2L5X3X5/16X3/8LLBB,F,16.4,4.82,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.67,–,–,1.14,–,16.0,–,–,–,–,12.5,6.64,3.74,1.61,7.06,4.15,2.21,1.21,–,–,–,–,–,–,–,–,–,–,–,–,2.52,0.640,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X5/16X3/4LLBB,2L5X3X5/16X3/4LLBB,F,16.4,4.82,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.67,–,–,1.14,–,16.0,–,–,–,–,12.5,6.64,3.74,1.61,8.78,5.05,2.60,1.35,–,–,–,–,–,–,–,–,–,–,–,–,2.59,0.659,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X1/4LLBB,2L5X3X1/4LLBB,F,13.2,3.88,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.250,–,–,–,–,–,–,1.64,–,–,1.12,–,20.0,–,–,–,–,10.2,5.36,3.02,1.62,4.44,2.51,1.48,1.07,–,–,–,–,–,–,–,–,–,–,–,–,2.46,0.622,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X1/4X3/8LLBB,2L5X3X1/4X3/8LLBB,F,13.2,3.88,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.250,–,–,–,–,–,–,1.64,–,–,1.12,–,20.0,–,–,–,–,10.2,5.36,3.02,1.62,5.49,3.24,1.72,1.19,–,–,–,–,–,–,–,–,–,–,–,–,2.52,0.638,–,0.804,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X3X1/4X3/4LLBB,2L5X3X1/4X3/4LLBB,F,13.2,3.88,3.00,–,–,–,–,–,–,–,5.00,–,–,–,–,–,–,0.250,–,–,–,–,–,–,1.64,–,–,1.12,–,20.0,–,–,–,–,10.2,5.36,3.02,1.62,6.86,3.97,2.03,1.33,–,–,–,–,–,–,–,–,–,–,–,–,2.59,0.657,–,0.804,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X1/2LLBB,2L4X3-1/2X1/2LLBB,F,23.8,7.00,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.24,–,–,0.500,–,8.00,–,–,–,–,10.6,6.92,3.84,1.23,14.5,6.96,4.14,1.44,–,–,–,–,–,–,–,–,–,–,–,–,2.14,0.784,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X1/2X3/8LLBB,2L4X3-1/2X1/2X3/8LLBB,F,23.8,7.00,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.24,–,–,0.500,–,8.00,–,–,–,–,10.6,6.92,3.84,1.23,17.3,8.27,4.69,1.57,–,–,–,–,–,–,–,–,–,–,–,–,2.23,0.802,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X1/2X3/4LLBB,2L4X3-1/2X1/2X3/4LLBB,F,23.8,7.00,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.24,–,–,0.500,–,8.00,–,–,–,–,10.6,6.92,3.84,1.23,20.7,9.58,5.34,1.72,–,–,–,–,–,–,–,–,–,–,–,–,2.33,0.819,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X3/8LLBB,2L4X3-1/2X3/8LLBB,F,18.2,5.36,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.20,–,–,0.427,–,10.7,–,–,–,–,8.30,5.32,2.96,1.25,10.8,5.08,3.09,1.42,–,–,–,–,–,–,–,–,–,–,–,–,2.14,0.778,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X3/8X3/8LLBB,2L4X3-1/2X3/8X3/8LLBB,F,18.2,5.36,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.20,–,–,0.427,–,10.7,–,–,–,–,8.30,5.32,2.96,1.25,12.9,6.08,3.50,1.55,–,–,–,–,–,–,–,–,–,–,–,–,2.23,0.795,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X3/8X3/4LLBB,2L4X3-1/2X3/8X3/4LLBB,F,18.2,5.36,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.20,–,–,0.427,–,10.7,–,–,–,–,8.30,5.32,2.96,1.25,15.3,7.09,3.95,1.69,–,–,–,–,–,–,–,–,–,–,–,–,2.33,0.813,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X5/16LLBB,2L4X3-1/2X5/16LLBB,F,15.4,4.50,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.17,–,–,0.400,–,12.8,–,–,–,–,7.06,4.48,2.50,1.25,8.82,4.15,2.52,1.40,–,–,–,–,–,–,–,–,–,–,–,–,2.14,0.775,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X5/16X3/8LLBB,2L4X3-1/2X5/16X3/8LLBB,F,15.4,4.50,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.17,–,–,0.400,–,12.8,–,–,–,–,7.06,4.48,2.50,1.25,10.5,5.00,2.85,1.53,–,–,–,–,–,–,–,–,–,–,–,–,2.23,0.792,–,0.997,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X5/16X3/4LLBB,2L4X3-1/2X5/16X3/4LLBB,F,15.4,4.50,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.17,–,–,0.400,–,12.8,–,–,–,–,7.06,4.48,2.50,1.25,12.7,5.84,3.28,1.68,–,–,–,–,–,–,–,–,–,–,–,–,2.33,0.810,–,0.997,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X1/4LLBB,2L4X3-1/2X1/4LLBB,F,12.4,3.64,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.250,–,–,–,–,–,–,1.14,–,–,0.360,–,16.0,–,–,–,–,5.78,3.62,2.02,1.26,7.03,3.27,2.01,1.39,–,–,–,–,–,–,–,–,–,–,–,–,2.14,0.773,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X1/4X3/8LLBB,2L4X3-1/2X1/4X3/8LLBB,F,12.4,3.64,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.250,–,–,–,–,–,–,1.14,–,–,0.360,–,16.0,–,–,–,–,5.78,3.62,2.02,1.26,8.41,3.95,2.28,1.52,–,–,–,–,–,–,–,–,–,–,–,–,2.22,0.790,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3-1/2X1/4X3/4LLBB,2L4X3-1/2X1/4X3/4LLBB,F,12.4,3.64,3.50,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.250,–,–,–,–,–,–,1.14,–,–,0.360,–,16.0,–,–,–,–,5.78,3.62,2.02,1.26,10.0,4.63,2.58,1.66,–,–,–,–,–,–,–,–,–,–,–,–,2.32,0.807,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3X5/8LLBB,2L4X3X5/8LLBB,F,27.2,7.98,3.00,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.625,–,–,–,–,–,–,1.37,–,–,0.808,–,6.40,–,–,–,–,12.0,8.16,4.56,1.23,11.7,6.92,3.90,1.21,–,–,–,–,–,–,–,–,–,–,–,–,2.02,0.728,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3X5/8X3/8LLBB,2L4X3X5/8X3/8LLBB,F,27.2,7.98,3.00,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.625,–,–,–,–,–,–,1.37,–,–,0.808,–,6.40,–,–,–,–,12.0,8.16,4.56,1.23,14.5,8.41,4.55,1.35,–,–,–,–,–,–,–,–,–,–,–,–,2.11,0.750,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3X5/8X3/4LLBB,2L4X3X5/8X3/4LLBB,F,27.2,7.98,3.00,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.625,–,–,–,–,–,–,1.37,–,–,0.808,–,6.40,–,–,–,–,12.0,8.16,4.56,1.23,18.0,9.91,5.33,1.50,–,–,–,–,–,–,–,–,–,–,–,–,2.21,0.773,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3X1/2LLBB,2L4X3X1/2LLBB,F,22.2,6.50,3.00,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.32,–,–,0.750,–,8.00,–,–,–,–,10.0,6.72,3.74,1.24,9.20,5.34,3.07,1.19,–,–,–,–,–,–,–,–,–,–,–,–,2.02,0.721,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L4X3X1/2X3/8LLBB,2L4X3X1/2X3/8LLBB,F,22.2,6.50,3.00,–,–,–,–,–,–,–,4.00,–,–,–,–,–,–,0.500,–,–,–,–,–,–,1.32,–,–,0.750,–,8.00,–,–,–,–,10.0,6.72,3.74,1.24,11.3,6.56,3.55,1.32,–,–,–,–,–,–,–,–,–,–,–,–,2.11,0.743,–,1.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
