Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB
L,L203X102X14.3,L203X102X14.3,32.4,4190,102,–,–,–,–,–,–,–,203,–,–,–,–,–,–,14.3,–,–,26.9,27.0,–,22.3,72.6,–,10.3,56.6,–,14.2,–,–,–,–,17.9,239,137,65.3,3.10,71.9,39.0,27.2,1.99,21.8,33.3,293,0.679,–,–,–,–,–,–,–,97.5,–,0.264,0.960,19.0,83.6,64.5,130,59.9,40.1,18.7,228,293,146,33.1,49.7,107,–,–,–,–
L,L203X102X12.7,L203X102X12.7,29.0,3740,102,–,–,–,–,–,–,–,203,–,–,–,–,–,–,12.7,–,–,25.4,25.4,–,21.7,72.1,–,9.22,55.9,–,16.0,–,–,–,–,16.1,215,123,65.5,2.81,64.1,35.2,27.4,1.80,21.9,29.8,209,0.483,–,–,–,–,–,–,–,98.0,–,0.266,0.910,17.1,84.1,64.0,131,60.2,39.6,18.9,203,265,131,29.8,45.6,95.4,–,–,–,–
L,L203X102X11.1,L203X102X11.1,25.6,3300,102,–,–,–,–,–,–,–,203,–,–,–,–,–,–,11.1,–,–,23.8,23.8,–,21.1,71.4,–,8.10,54.9,–,18.3,–,–,–,–,14.2,190,108,65.8,2.51,56.0,31.1,27.7,1.60,22.0,26.4,142,0.328,–,–,–,–,–,–,–,98.3,–,0.268,0.850,15.2,84.6,63.5,131,60.7,38.9,19.3,180,239,115,26.4,41.1,83.4,–,–,–,–
L,L178X102X19,L178X102X19,38.8,4990,102,–,–,–,–,–,–,–,178,–,–,–,–,–,–,19.1,–,–,31.8,31.8,–,25.4,63.5,–,14.0,46.7,–,9.33,–,–,–,–,15.7,243,137,56.1,3.75,91.8,49.3,27.4,2.34,21.7,42.1,612,1.07,–,–,–,–,–,–,–,84.1,–,0.324,1.00,17.1,74.9,52.6,114,55.9,43.7,20.1,229,326,151,42.0,53.6,117,–,–,–,–
L,L178X102X15.9,L178X102X15.9,32.7,4190,102,–,–,–,–,–,–,–,178,–,–,–,–,–,–,15.9,–,–,28.7,28.6,–,24.3,62.2,–,11.8,45.7,–,11.2,–,–,–,–,13.5,205,117,56.6,3.24,76.9,42.0,27.9,2.00,21.8,35.4,361,0.636,–,–,–,–,–,–,–,84.8,–,0.329,1.00,14.7,75.7,51.6,115,56.4,42.7,20.5,195,287,128,35.6,47.0,97.3,–,–,–,–
L,L178X102X12.7,L178X102X12.7,26.5,3390,102,–,–,–,–,–,–,–,178,–,–,–,–,–,–,12.7,–,–,25.4,25.4,–,23.1,61.0,–,9.55,44.2,–,14.0,–,–,–,–,11.1,167,94.9,57.2,2.70,61.8,34.4,28.2,1.64,22.0,28.8,190,0.336,–,–,–,–,–,–,–,85.6,–,0.334,0.970,12.1,76.7,50.5,116,57.2,41.1,21.2,158,239,104,28.7,39.8,77.8,–,–,–,–
L,L178X102X11.1,L178X102X11.1,23.4,2990,102,–,–,–,–,–,–,–,178,–,–,–,–,–,–,11.1,–,–,23.8,23.8,–,22.5,60.5,–,8.41,43.4,–,16.0,–,–,–,–,9.82,148,83.7,57.4,2.41,54.2,30.5,28.4,1.46,22.1,25.4,129,0.229,–,–,–,–,–,–,–,85.9,–,0.337,0.910,10.8,77.2,50.0,117,57.4,40.6,21.5,139,215,92.4,25.4,35.9,68.0,–,–,–,–
L,L178X102X9.5,L178X102X9.5,20.2,2580,102,–,–,–,–,–,–,–,178,–,–,–,–,–,–,9.53,–,–,22.2,22.2,–,21.9,59.7,–,7.26,42.4,–,18.7,–,–,–,–,8.53,128,72.4,57.7,2.11,46.5,26.4,28.4,1.27,22.2,22.0,82.4,0.146,–,–,–,–,–,–,–,86.4,–,0.339,0.840,9.37,77.7,49.5,117,57.9,39.9,21.8,121,188,79.8,21.8,31.8,58.2,–,–,–,–
L,L152X152X25.4,L152X152X25.4,55.7,7100,152,–,–,–,–,–,–,–,152,–,–,–,–,–,–,25.4,–,–,38.1,38.1,–,47.2,47.2,–,23.3,23.3,–,6.00,–,–,–,–,14.7,252,140,45.5,14.7,252,140,45.5,6.20,29.7,93.4,1530,2.48,–,–,–,–,–,–,–,80.8,0.640,1.00,1.00,23.2,98.8,0.00,98.8,50.0,66.8,50.0,236,–,234,124,92.8,124,–,–,–,–
L,L152X152X22.2,L152X152X22.2,49.3,6290,152,–,–,–,–,–,–,–,152,–,–,–,–,–,–,22.2,–,–,35.1,34.9,–,46.0,46.0,–,20.7,20.7,–,6.86,–,–,–,–,13.3,225,125,46.0,13.3,225,125,46.0,5.54,29.7,84.9,1040,1.72,–,–,–,–,–,–,–,81.5,0.630,1.00,1.00,21.0,100,0.00,100,50.5,65.0,50.5,210,–,210,109,85.2,109,–,–,–,–
L,L152X152X19,L152X152X19,42.7,5460,152,–,–,–,–,–,–,–,152,–,–,–,–,–,–,19.1,–,–,31.8,31.8,–,45.0,45.0,–,17.9,17.9,–,8.00,–,–,–,–,11.7,195,109,46.2,11.7,195,109,46.2,4.83,29.7,75.9,670,1.12,–,–,–,–,–,–,–,82.3,0.630,1.00,1.00,18.6,101,0.00,101,50.8,63.5,50.8,184,–,184,94.7,75.9,94.9,–,–,–,–
L,L152X152X15.9,L152X152X15.9,36.0,4600,152,–,–,–,–,–,–,–,152,–,–,–,–,–,–,15.9,–,–,28.7,28.6,–,43.7,43.7,–,15.1,15.1,–,9.60,–,–,–,–,10.0,166,92.4,46.7,10.0,166,92.4,46.7,4.08,29.7,66.2,398,0.671,–,–,–,–,–,–,–,83.3,0.630,1.00,1.00,16.0,102,0.00,102,51.6,61.7,51.6,156,–,156,79.1,66.0,79.1,–,–,–,–
L,L152X152X14.3,L152X152X14.3,32.6,4160,152,–,–,–,–,–,–,–,152,–,–,–,–,–,–,14.3,–,–,26.9,27.0,–,43.2,43.2,–,13.7,13.7,–,10.7,–,–,–,–,9.16,150,83.9,47.0,9.16,150,83.9,47.0,3.70,30.0,61.1,293,0.497,–,–,–,–,–,–,–,83.6,0.630,1.00,1.00,14.6,103,0.00,103,51.8,61.0,51.8,142,–,142,71.4,60.6,71.6,–,–,–,–
L,L152X152X12.7,L152X152X12.7,29.2,3720,152,–,–,–,–,–,–,–,152,–,–,–,–,–,–,12.7,–,–,25.4,25.4,–,42.4,42.4,–,12.2,12.2,–,12.0,–,–,–,–,8.28,135,75.2,47.2,8.28,135,75.2,47.2,3.35,30.0,55.7,209,0.354,–,–,–,–,–,–,–,84.1,0.630,1.00,1.00,13.2,103,0.00,103,52.3,59.9,52.3,128,–,128,64.1,55.9,64.2,–,–,–,–
L,L152X152X11.1,L152X152X11.1,25.6,3280,152,–,–,–,–,–,–,–,152,–,–,–,–,–,–,11.1,–,–,23.8,23.8,–,41.9,41.9,–,10.7,10.7,–,13.7,–,–,–,–,7.33,119,66.5,47.2,7.33,119,66.5,47.2,2.93,30.0,50.0,142,0.241,–,–,–,–,–,–,–,84.3,0.630,1.00,0.970,11.7,104,0.00,104,52.3,59.2,52.3,113,–,113,55.9,49.5,56.0,–,–,–,–
L,L152X152X9.5,L152X152X9.5,22.2,2830,152,–,–,–,–,–,–,–,152,–,–,–,–,–,–,9.53,–,–,22.2,22.2,–,41.1,41.1,–,9.27,9.27,–,16.0,–,–,–,–,6.41,103,57.5,47.5,6.41,103,57.5,47.5,2.58,30.2,44.1,90.7,0.154,–,–,–,–,–,–,–,84.8,0.630,1.00,0.910,10.2,104,0.00,104,52.8,58.2,52.8,98.2,–,98.0,48.8,44.4,48.8,–,–,–,–
L,L152X152X7.9,L152X152X7.9,18.5,2370,152,–,–,–,–,–,–,–,152,–,–,–,–,–,–,7.94,–,–,20.7,20.6,–,40.6,40.6,–,7.77,7.77,–,19.2,–,–,–,–,5.41,86.2,48.3,47.8,5.41,86.2,48.3,47.8,2.16,30.2,37.7,53.7,0.0908,–,–,–,–,–,–,–,85.1,0.630,1.00,0.830,8.66,105,0.00,105,53.1,57.4,53.1,82.4,–,82.4,40.8,37.7,40.8,–,–,–,–
L,L152X102X22.2,L152X102X22.2,40.3,5160,102,–,–,–,–,–,–,–,152,–,–,–,–,–,–,22.2,–,–,35.1,34.9,–,28.4,53.8,–,16.9,36.3,–,6.86,–,–,–,–,11.5,208,117,47.2,4.04,103,55.2,27.9,2.42,21.7,47.7,845,1.08,–,–,–,–,–,–,–,71.6,–,0.421,1.00,13.2,67.8,38.6,97.5,50.8,47.2,22.3,193,341,135,47.7,51.5,109,–,–,–,–
L,L152X102X19,L152X102X19,35.0,4480,102,–,–,–,–,–,–,–,152,–,–,–,–,–,–,19.1,–,–,31.8,31.8,–,27.2,52.6,–,14.7,34.8,–,8.00,–,–,–,–,10.2,182,102,47.8,3.59,88.8,48.3,28.4,2.11,21.7,41.1,545,0.709,–,–,–,–,–,–,–,72.4,–,0.428,1.00,11.7,68.8,37.6,98.8,51.6,45.7,23.0,170,311,118,41.1,46.4,91.9,–,–,–,–
L,L152X102X15.9,L152X102X15.9,29.6,3780,102,–,–,–,–,–,–,–,152,–,–,–,–,–,–,15.9,–,–,28.7,28.6,–,26.2,51.6,–,12.4,33.3,–,9.60,–,–,–,–,8.74,155,86.7,48.0,3.11,74.7,41.3,28.7,1.80,21.8,34.7,323,0.427,–,–,–,–,–,–,–,73.2,–,0.435,1.00,10.1,70.1,36.8,100,51.8,44.4,23.5,144,274,101,34.7,40.3,76.5,–,–,–,–
L,L152X102X14.3,L152X102X14.3,26.9,3430,102,–,–,–,–,–,–,–,152,–,–,–,–,–,–,14.3,–,–,26.9,27.0,–,25.4,50.8,–,11.3,32.5,–,10.7,–,–,–,–,7.99,141,78.8,48.3,2.86,67.7,37.5,29.0,1.64,21.9,31.5,238,0.317,–,–,–,–,–,–,–,73.7,–,0.438,1.00,9.20,70.6,36.3,100,52.3,43.7,24.1,130,252,91.6,31.3,37.5,68.0,–,–,–,–
